name,gender,slug,quotes_vec,tweet,tweet_link,people_mentioned,date
Hillary Clinton,woman,hillary-clinton,Crooked,A massive tax increase will be necessary to fund Crooked Hillary Clinton's agenda. What a terrible (and boring) rollout that was yesterday!,https://twitter.com/realDonaldTrump/status/764055793951834114,1,2016-08-12T11:07:51+0000
Hillary Clinton,woman,hillary-clinton,Crooked,We now have confirmation as to one reason Crooked H wanted to be sure that nobody saw her e-mails - PAY-FOR-PLAY. How can she run for Pres.,https://twitter.com/realDonaldTrump/status/764552764177481728,1,2016-08-13T20:02:38+0000
Hillary Clinton,woman,hillary-clinton,Crooked,Crooked Hillary Clinton is being protected by the media. She is not a talented person or politician. The dishonest media refuses to expose!,http://twitter.com/realDonaldTrump/status/764866887511572480,1,2016-08-14T16:50:51
Hillary Clinton,woman,hillary-clinton,not a talented person or politician,Crooked Hillary Clinton is being protected by the media. She is not a talented person or politician. The dishonest media refuses to expose!,http://twitter.com/realDonaldTrump/status/764866887511572480,1,2016-08-14T16:50:51
Hillary Clinton,woman,hillary-clinton,Crooked,"I am not only fighting Crooked Hillary, I am fighting the dishonest and corrupt media and her government protection process. People get it!",http://twitter.com/realDonaldTrump/status/764867963845484545,1,2016-08-14T16:55:07
Hillary Clinton,woman,hillary-clinton,Crooked,#CrookedHillary #ThrowbackThursday https://t.co/v8J0r64J7h,https://twitter.com/realDonaldTrump/status/766378021355921408,1,2016-08-18T20:55:33+0000
Hillary Clinton,woman,hillary-clinton,Crooked,Crooked Hillary is flooding the airwaves with false and misleading ads - all paid for by her bosses on Wall Street. Media is protecting her!,http://twitter.com/realDonaldTrump/status/767520065608613888,1,2016-08-22T00:33:38
Hillary Clinton,woman,hillary-clinton,LIE!,"Hillary Clinton strongly stated that there was ""absolutely no connection"" between her private work and that of The State Department. LIE!",https://twitter.com/realDonaldTrump/status/768097204376510464,1,2016-08-23T14:46:58+0000
Hillary Clinton,woman,hillary-clinton,crooked,Just watched recap of #CrookedHillary's speech. Very short and lies. She is the only one fear-mongering!,https://twitter.com/realDonaldTrump/status/768903697166368769,1,2016-08-25T20:11:41+0000
Hillary Clinton,woman,hillary-clinton,lies,Just watched recap of #CrookedHillary's speech. Very short and lies. She is the only one fear-mongering!,https://twitter.com/realDonaldTrump/status/768903697166368769,1,2016-08-25T20:11:41+0000
Hillary Clinton,woman,hillary-clinton,fear-mongering!,Just watched recap of #CrookedHillary's speech. Very short and lies. She is the only one fear-mongering!,https://twitter.com/realDonaldTrump/status/768903697166368769,1,2016-08-25T20:11:41+0000
Hillary Clinton,woman,hillary-clinton,pandering to the worst instincts in our society,Hillary Clinton's short speech is pandering to the worst instincts in our society. She should be ashamed of herself!,https://twitter.com/realDonaldTrump/status/768904362211086336,1,2016-08-25T20:14:20+0000
Hillary Clinton,woman,hillary-clinton,She should be ashamed of herself!,Hillary Clinton's short speech is pandering to the worst instincts in our society. She should be ashamed of herself!,https://twitter.com/realDonaldTrump/status/768904362211086336,1,2016-08-25T20:14:20+0000
Hillary Clinton,woman,hillary-clinton,using race-baiting,Hillary Clinton is using race-baiting to try to get African-American voters- but they know she is all talk and NO ACTION!,https://twitter.com/realDonaldTrump/status/768912241349517312,1,2016-08-25T20:45:38+0000
Hillary Clinton,woman,hillary-clinton,all talk and NO ACTION!,Hillary Clinton is using race-baiting to try to get African-American voters- but they know she is all talk and NO ACTION!,https://twitter.com/realDonaldTrump/status/768912241349517312,1,2016-08-25T20:45:38+0000
Hillary Clinton,woman,hillary-clinton,using the oldest play in the Dem playbook,"HRC is using the oldest play in the Dem playbook- when their policies fail, they are left w/this one tired argument!
 https://t.co/FNbCMmwLTn",https://twitter.com/realDonaldTrump/status/768922208987127808,1,2016-08-25T21:25:15+0000
Hillary Clinton,woman,hillary-clinton,only knows how to make a speech when it is a hit on me,"Hillary Clinton only knows how to make a speech when it is a hit on me. No policy, and always very short (stamina). Media gives her a pass!",https://twitter.com/realDonaldTrump/status/769001435484688384,1,2016-08-26T02:40:04+0000
Hillary Clinton,woman,hillary-clinton,No policy,"Hillary Clinton only knows how to make a speech when it is a hit on me. No policy, and always very short (stamina). Media gives her a pass!",https://twitter.com/realDonaldTrump/status/769001435484688384,1,2016-08-26T02:40:04+0000
Hillary Clinton,woman,hillary-clinton,CORRUPTION,"CLINTON CORRUPTION AND HER SABOTAGE OF THE INNER CITIES. 
 Full speech transcript: https://t.co/npswT6lbg3",https://twitter.com/realDonaldTrump/status/769002724218118144,1,2016-08-26T02:45:11+0000
Hillary Clinton,woman,hillary-clinton,SABOTAGE OF THE INNER CITIES,"CLINTON CORRUPTION AND HER SABOTAGE OF THE INNER CITIES. 
 Full speech transcript: https://t.co/npswT6lbg3",https://twitter.com/realDonaldTrump/status/769002724218118144,1,2016-08-26T02:45:11+0000
