"insult_slugs","quotes_vec","tweet","tweet_link","people_mentioned","date"
"protesters","thugs","Great evening in San Jose other than the thugs. My supporters are far tougher if they want to be, but fortunately they are not hostile.","https://twitter.com/realDonaldTrump/status/738809335841595392","1","2016-06-03T19:07:26+0000"
"protesters","thugs","Many of the thugs that attacked the peaceful Trump supporters in San Jose were illegals. They burned the American flag and laughed at police","https://twitter.com/realDonaldTrump/status/739080401747120128","1","2016-06-04T13:04:33+0000"
"protesters","thugs","The Mayor of San Jose did a terrible job of ordering the protection of innocent people. The thugs were lucky supporters remained peaceful!","https://twitter.com/realDonaldTrump/status/739082059348619264","1","2016-06-04T13:11:09+0000"
"wall-street-journal-editorial-board","dummies","Please explain to the dummies at the @WSJ Editorial Board that I love to debate and have won, according to Drudge etc., all 11 of them!","https://twitter.com/realDonaldTrump/status/710456179173040128","1","2016-03-17T13:22:07+0000"
"florida-early-voting","very dishonest","Word is-early voting in FL is very dishonest. Little Marco, his State Chairman, &amp; their minions are working overtime-trying to rig the vote.","https://twitter.com/realDonaldTrump/status/708715781199044609","1","2016-03-12T18:06:24+0000"
"florida-early-voting","dishonest","We are asking law enforcement to check for dishonest early voting in Florida- on behalf of little Marco Rubio. 
 No way to run a country!","https://twitter.com/realDonaldTrump/status/708715949138911232","1","2016-03-12T18:07:04+0000"
"tpp-deal","fraud!","Ohio had the biggest budget increase in the U.S. If it were not for striking oil, they would be bust! Governor Kasich in favor of TPP fraud!","https://twitter.com/realDonaldTrump/status/708658225198006273","1","2016-03-12T14:17:41+0000"
"anti-trump-ads","paid for by the politicians bosses","The negative television commercials about me, paid for by the politicians bosses, are a total #Mediafraud. When you watch, remember!","https://twitter.com/realDonaldTrump/status/707309366064578564","1","2016-03-08T20:57:48+0000"
"anti-trump-ads","a total #Mediafraud","The negative television commercials about me, paid for by the politicians bosses, are a total #Mediafraud. When you watch, remember!","https://twitter.com/realDonaldTrump/status/707309366064578564","1","2016-03-08T20:57:48+0000"
"anti-trump-ads","pathetic","The pathetic new hit ad against me misrepresents the final line. ""You can tell them to go BLANK themselves"" - was about China, NOT WOMEN!","https://twitter.com/realDonaldTrump/status/732535400498143232","1","2016-05-17T11:37:03+0000"
"anti-trump-ads","a fraud","Wall Street paid for ad is a fraud, just like Crooked Hillary! Their main line had nothing to do with women, and they knew it. Apologize?","https://twitter.com/realDonaldTrump/status/732717975090909185","1","2016-05-17T23:42:33+0000"
"meet-the-press","did a 1 hour hit job on me today",".@meetthepress and @chucktodd did a 1 hour hit job on me today – totally biased and mostly false. Dishonest media!","https://twitter.com/realDonaldTrump/status/706544678980734976","1","2016-03-06T18:19:13+0000"
"meet-the-press","totally biased and mostly false",".@meetthepress and @chucktodd did a 1 hour hit job on me today – totally biased and mostly false. Dishonest media!","https://twitter.com/realDonaldTrump/status/706544678980734976","1","2016-03-06T18:19:13+0000"
"meet-the-press","Dishonest",".@meetthepress and @chucktodd did a 1 hour hit job on me today – totally biased and mostly false. Dishonest media!","https://twitter.com/realDonaldTrump/status/706544678980734976","1","2016-03-06T18:19:13+0000"
"david-brooks","is closing in on being the dumbest of them all","David Brooks, of the New York Times, is closing in on being the dumbest of them all. He doesn’t have a clue.","https://twitter.com/realDonaldTrump/status/706531140195196932","1","2016-03-06T17:25:25+0000"
"david-brooks","doesn’t have a clue","David Brooks, of the New York Times, is closing in on being the dumbest of them all. He doesn’t have a clue.","https://twitter.com/realDonaldTrump/status/706531140195196932","1","2016-03-06T17:25:25+0000"
"david-brooks","one of the dumbest of all pundits","While I have never met @nytdavidbrooks of the NY Times, I consider him one of the dumbest of all pundits- he has no sense of the real world!","https://twitter.com/realDonaldTrump/status/711042337158340608","1","2016-03-19T04:11:18+0000"
"david-brooks","he has no sense of the real world!","While I have never met @nytdavidbrooks of the NY Times, I consider him one of the dumbest of all pundits- he has no sense of the real world!","https://twitter.com/realDonaldTrump/status/711042337158340608","1","2016-03-19T04:11:18+0000"
"david-brooks","a clown","Reading @nytdavidbrooks of the NY Times is a total waste of time, he is a clown with no awareness of the world around him- dummy!","https://twitter.com/realDonaldTrump/status/711046009992798208","1","2016-03-19T04:25:54+0000"
"david-brooks","dummy!","Reading @nytdavidbrooks of the NY Times is a total waste of time, he is a clown with no awareness of the world around him- dummy!","https://twitter.com/realDonaldTrump/status/711046009992798208","1","2016-03-19T04:25:54+0000"
"special-interests","control our politicians (puppets)","The special interests and people who control our politicians (puppets) are spending $25 million on misleading and fraudulent T.V. ads on me.","https://twitter.com/realDonaldTrump/status/705088689295245312","1","2016-03-02T17:53:38+0000"
"special-interests","are spending $25 million on misleading and fraudulent T.V. ads on me","The special interests and people who control our politicians (puppets) are spending $25 million on misleading and fraudulent T.V. ads on me.","https://twitter.com/realDonaldTrump/status/705088689295245312","1","2016-03-02T17:53:38+0000"
